ra,dec,d,phase
118.701151,-1.782449302,926.0649,241
118.7020108,-1.764495719,924.6602,241
118.7027377,-1.74650467,923.254,241
118.7032437,-1.728523715,921.8463,241
118.7036168,-1.710505252,920.4371,241
118.703769,-1.69249683,919.0265,241
118.7036541,-1.674412797,917.6143,241
118.7033645,-1.656424354,916.2006,241
118.7028958,-1.638312684,914.7854,241
118.7022526,-1.620296546,913.3686,241
118.7013422,-1.602204668,911.9504,241
118.7002991,-1.584075102,910.5307,241
118.6989008,-1.565917256,909.1093,241
118.6974161,-1.547807277,907.6866,241
118.6957986,-1.529659528,906.2623,241
118.693826,-1.511483375,904.8364,241
118.6916327,-1.493316882,903.4091,241
118.6893067,-1.475112517,901.9802,241
118.68676,-1.456917744,900.5499,241
118.6839925,-1.438732521,899.118,241
118.6809581,-1.42047118,897.6846,241
118.6778373,-1.402257464,896.2497,241
118.6743615,-1.384015015,894.8132,241
118.6707531,-1.365734489,893.3753,241
118.6668778,-1.347377676,891.9358,241
118.66274,-1.329163235,890.4947,241
118.6584235,-1.310824967,889.0522,241
118.6538863,-1.292495904,887.6082,241
118.6490823,-1.27409036,886.1626,241
118.6441919,-1.255732155,884.7155,241
118.6389467,-1.237344788,883.2669,241
118.6334809,-1.218966433,881.8168,241
118.6277945,-1.20059704,880.3651,241
118.6218414,-1.182150907,878.912,241
118.6157558,-1.163666256,877.4572,241
118.6093615,-1.145237796,876.0011,241
118.6027006,-1.12673243,874.5433,241
118.5958192,-1.108235763,873.0841,241
118.5887172,-1.08974774,871.6233,241
118.5813946,-1.071268309,870.1611,241
118.5738055,-1.052711744,868.6972,241
118.5659958,-1.034163656,867.2319,241
118.5579656,-1.01562399,865.7651,241
118.5496688,-0.997007009,864.2968,241
118.5411516,-0.978398332,862.827,241
118.5322797,-0.959759506,861.3556,241
118.5232754,-0.941081561,859.8828,241
118.5139625,-0.922459018,858.4085,241
118.5043831,-0.903758825,856.9326,241
118.4945833,-0.885066615,855.4553,241
118.4845629,-0.866382328,853.9764,241
118.4742761,-0.847620191,852.4961,241
118.4636348,-0.828827368,851.0143,241
118.452907,-0.810080745,849.531,241
118.4417788,-0.79121756,848.0462,241
118.430476,-0.772447681,846.56,241
118.4188187,-0.753646789,845.0722,241
118.4069832,-0.734720389,843.5829,241
118.394839,-0.71584855,842.0922,241
118.3824744,-0.696984002,840.6,241
118.3698435,-0.678040922,839.1063,241
118.356858,-0.65906639,837.6112,241
118.3436521,-0.640098914,836.1146,241
118.3302258,-0.621138426,834.6165,241
118.3165331,-0.602099079,833.1171,241
118.302486,-0.583027915,831.6161,241
118.2882184,-0.563963495,830.1136,241
118.2736421,-0.544952858,828.6097,241
118.2587537,-0.525777201,827.1044,241
118.2436907,-0.506693846,825.5976,241
118.2283157,-0.487445293,824.0894,241
118.212632,-0.46825015,822.5798,241
118.1967278,-0.449061254,821.0687,241
118.1804691,-0.429839753,819.5563,241
118.1639443,-0.41053848,818.0424,241
118.1471107,-0.391290227,816.527,241
118.1300109,-0.371962009,815.0103,241
118.1126449,-0.352553731,813.4922,241
118.0949701,-0.333198175,811.9727,241
118.0770292,-0.313762362,810.4517,241
118.0587338,-0.294293181,808.9294,241
118.0402179,-0.27482942,807.4057,241
118.0213475,-0.25533207,805.8806,241
118.002211,-0.235754044,804.3542,241
117.982854,-0.216181155,802.8264,241
117.9630542,-0.196621283,801.2971,241
117.9430765,-0.176933474,799.7666,241
117.92279,-0.157297438,798.2347,241
117.9021034,-0.137541165,796.7014,241
117.8811079,-0.117836412,795.1668,241
117.8599346,-0.098003323,793.6309,241
117.8383641,-0.078268435,792.0936,241
117.8164818,-0.0583659,790.555,241
117.794379,-0.03846757,789.0151,241
117.7718333,-0.018581059,787.4738,241
117.7491098,0.00143432,785.9313,241
117.7259434,0.02143816,784.3875,241
117.7025564,0.041438241,782.8424,241
117.6787694,0.061559916,781.2959,241
117.6547617,0.081678058,779.7483,241
117.6303995,0.101832021,778.1994,241
117.6056827,0.122021949,776.6492,241
117.5806998,0.142294756,775.0976,241
